民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,事件,教育程度,婚姻類型,人數
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,專科,相同性別,1
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,碩士,不同性別,92
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,碩士,相同性別,0
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,高中職,不同性別,97
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,高中職,相同性別,2
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,博士,不同性別,5
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,博士,相同性別,0
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,國中,不同性別,63
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,國中,相同性別,0
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,國小以下,不同性別,5
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,國小以下,相同性別,0
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,大學,不同性別,387
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,大學,相同性別,1
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,專科,不同性別,31
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,專科,相同性別,0
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,碩士,不同性別,151
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,碩士,相同性別,0
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,高中職,不同性別,128
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,男,結婚,高中職,相同性別,1
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,博士,不同性別,1
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,博士,相同性別,0
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,國中,不同性別,38
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,國中,相同性別,0
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,國小以下,不同性別,7
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,國小以下,相同性別,0
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,大學,不同性別,146
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,大學,相同性別,4
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,專科,不同性別,41
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,專科,相同性別,3
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,碩士,不同性別,39
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,碩士,相同性別,1
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,高中職,不同性別,93
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,女,結婚,高中職,相同性別,7
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,博士,不同性別,2
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,博士,相同性別,1
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,國中,不同性別,51
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,國中,相同性別,0
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,國小以下,不同性別,6
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,國小以下,相同性別,0
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,大學,不同性別,165
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,大學,相同性別,0
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,專科,不同性別,48
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,專科,相同性別,3
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,碩士,不同性別,73
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,碩士,相同性別,0
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,高中職,不同性別,115
109,,5,新莊區,35～39歲,35,39,部分重疊,0.2,男,結婚,高中職,相同性別,1
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,博士,不同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,博士,相同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,國中,不同性別,17
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,國中,相同性別,1
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,國小以下,不同性別,3
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,國小以下,相同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,大學,不同性別,33
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,大學,相同性別,2
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,專科,不同性別,19
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,專科,相同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,碩士,不同性別,5
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,碩士,相同性別,1
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,高中職,不同性別,47
109,,5,新莊區,40～44歲,40,44,不相關,0.0,女,結婚,高中職,相同性別,3
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,博士,不同性別,3
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,博士,相同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,國中,不同性別,30
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,國中,相同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,國小以下,不同性別,2
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,國小以下,相同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,大學,不同性別,55
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,大學,相同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,專科,不同性別,37
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,專科,相同性別,1
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,碩士,不同性別,20
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,碩士,相同性別,0
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,高中職,不同性別,61
109,,5,新莊區,40～44歲,40,44,不相關,0.0,男,結婚,高中職,相同性別,2
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,博士,不同性別,0
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,博士,相同性別,0
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,國中,不同性別,10
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,國中,相同性別,0
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,國小以下,不同性別,2
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,國小以下,相同性別,0
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,大學,不同性別,12
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,大學,相同性別,0
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,專科,不同性別,7
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,專科,相同性別,0
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,碩士,不同性別,2
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,碩士,相同性別,1
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,高中職,不同性別,28
109,,5,新莊區,45～49歲,45,49,不相關,0.0,女,結婚,高中職,相同性別,1
109,,5,新莊區,45～49歲,45,49,不相關,0.0,男,結婚,博士,不同性別,0
109,,5,新莊區,45～49歲,45,49,不相關,0.0,男,結婚,博士,相同性別,1
109,,5,新莊區,45～49歲,45,49,不相關,0.0,男,結婚,國中,不同性別,16
109,,5,新莊區,45～49歲,45,49,不相關,0.0,男,結婚,國中,相同性別,0
109,,5,新莊區,45～49歲,45,49,不相關,0.0,男,結婚,國小以下,不同性別,2
109,,5,新莊區,45～49歲,45,49,不相關,0.0,男,結婚,國小以下,相同性別,0
