民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,10.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,40.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,205.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,81.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,124.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,133.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,54.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,79.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,99.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,43.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,56.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,100.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,55.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,45.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,84.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,34.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,50.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,1118.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,483.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,635.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,84.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,32.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,52.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,59.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,23.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,36.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,65.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,28.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,37.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,25.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,8.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,17.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,247.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,115.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,132.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,27.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,13.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,14.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,90.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,46.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,44.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,41.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,18.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,23.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,35.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,13.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,22.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,1019.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  男,itemvalue8,是（欄位說明僅存於新北市統計年報）,406.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  女,itemvalue8,是（欄位說明僅存於新北市統計年報）,613.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,69.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  男,itemvalue8,是（欄位說明僅存於新北市統計年報）,24.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  女,itemvalue8,是（欄位說明僅存於新北市統計年報）,45.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,36.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  男,itemvalue8,是（欄位說明僅存於新北市統計年報）,11.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  女,itemvalue8,是（欄位說明僅存於新北市統計年報）,25.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,57.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  男,itemvalue8,是（欄位說明僅存於新北市統計年報）,22.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  女,itemvalue8,是（欄位說明僅存於新北市統計年報）,35.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,11.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  男,itemvalue8,是（欄位說明僅存於新北市統計年報）,3.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  女,itemvalue8,是（欄位說明僅存於新北市統計年報）,8.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,131.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  男,itemvalue8,是（欄位說明僅存於新北市統計年報）,56.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  女,itemvalue8,是（欄位說明僅存於新北市統計年報）,75.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,11.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  男,itemvalue8,是（欄位說明僅存於新北市統計年報）,3.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  女,itemvalue8,是（欄位說明僅存於新北市統計年報）,8.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,130.0
