民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  85~89歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,438.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  90~94歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,139.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  95~99歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,47.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  100歲以上,itemvalue8,是（欄位說明僅存於新北市統計年報）,14.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  總計,itemvalue9,是（欄位說明僅存於新北市統計年報）,1544692.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  未滿15歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,2.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  15~19歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,2004.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  20~24歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,25757.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  25~29歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,103839.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  30~34歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,201973.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  35~39歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,258302.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  40~44歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,258403.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  45~49歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,232565.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  50~54歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,146307.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  55~59歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,97589.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  60~64歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,77473.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  65~69歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,55971.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  70~74歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,44916.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  75~79歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,25017.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  80~84歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,10195.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  85~89歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,3406.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  90~94歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,743.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  95~99歲,itemvalue9,是（欄位說明僅存於新北市統計年報）,166.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  100歲以上,itemvalue9,是（欄位說明僅存於新北市統計年報）,64.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  總計,itemvalue10,是（欄位說明僅存於新北市統計年報）,761861.0
