"year","roc_year","district_code","district","status","people"
"2023","112","16","泰山區","有偶","5235"
"2023","112","16","泰山區","未婚","18209"
"2023","112","16","泰山區","離婚","723"
"2023","112","17","林口區","喪偶","26"
"2023","112","17","林口區","有偶","11521"
"2023","112","17","林口區","未婚","27206"
"2023","112","17","林口區","離婚","1139"
"2023","112","18","八里區","喪偶","2"
"2023","112","18","八里區","有偶","1345"
"2023","112","18","八里區","未婚","5767"
"2023","112","18","八里區","離婚","211"
"2023","112","19","深坑區","喪偶","2"
"2023","112","19","深坑區","有偶","296"
"2023","112","19","深坑區","未婚","1532"
"2023","112","19","深坑區","離婚","60"
"2023","112","20","石碇區","喪偶","2"
"2023","112","20","石碇區","有偶","325"
"2023","112","20","石碇區","未婚","1228"
"2023","112","20","石碇區","離婚","40"
"2023","112","21","坪林區","喪偶","8"
"2023","112","21","坪林區","有偶","1142"
"2023","112","21","坪林區","未婚","5033"
"2023","112","21","坪林區","離婚","226"
"2023","112","22","三芝區","喪偶","3"
"2023","112","22","三芝區","有偶","728"
"2023","112","22","三芝區","未婚","2434"
"2023","112","22","三芝區","離婚","105"
"2023","112","23","石門區","喪偶","9"
"2023","112","23","石門區","有偶","3272"
"2023","112","23","石門區","未婚","9766"
"2023","112","23","石門區","離婚","508"
"2023","112","24","金山區","喪偶","0"
"2023","112","24","金山區","有偶","126"
"2023","112","24","金山區","未婚","606"
"2023","112","24","金山區","離婚","37"
"2023","112","25","萬里區","喪偶","3"
"2023","112","25","萬里區","有偶","281"
"2023","112","25","萬里區","未婚","1394"
"2023","112","25","萬里區","離婚","77"
"2023","112","26","平溪區","喪偶","2"
"2023","112","26","平溪區","有偶","533"
"2023","112","26","平溪區","未婚","1918"
"2023","112","26","平溪區","離婚","106"
"2023","112","27","雙溪區","喪偶","6"
"2023","112","27","雙溪區","有偶","1343"
"2023","112","27","雙溪區","未婚","4497"
"2023","112","27","雙溪區","離婚","240"
"2023","112","28","貢寮區","喪偶","5"
"2023","112","28","貢寮區","有偶","1324"
"2023","112","28","貢寮區","未婚","4150"
"2023","112","28","貢寮區","離婚","252"
"2023","112","29","烏來區","喪偶","4"
"2023","112","29","烏來區","有偶","639"
"2023","112","29","烏來區","未婚","1296"
"2023","112","29","烏來區","離婚","121"
"2024","113","0","New Taipei City","喪偶","754"
"2024","113","0","New Taipei City","有偶","252866"
"2024","113","0","New Taipei City","未婚","899021"
"2024","113","0","New Taipei City","離婚","36648"
"2024","113","1","板橋區","喪偶","77"
"2024","113","1","板橋區","有偶","32931"
"2024","113","1","板橋區","未婚","119726"
"2024","113","1","板橋區","離婚","4387"
"2024","113","2","三重區","喪偶","75"
"2024","113","2","三重區","有偶","23190"
"2024","113","2","三重區","未婚","86004"
"2024","113","2","三重區","離婚","3557"
"2024","113","3","中和區","喪偶","68"
"2024","113","3","中和區","有偶","22323"
"2024","113","3","中和區","未婚","87673"
"2024","113","3","中和區","離婚","3106"
"2024","113","4","永和區","喪偶","21"
"2024","113","4","永和區","有偶","10077"
"2024","113","4","永和區","未婚","44067"
"2024","113","4","永和區","離婚","1163"
"2024","113","5","新莊區","喪偶","92"
"2024","113","5","新莊區","有偶","29120"
"2024","113","5","新莊區","未婚","97754"
"2024","113","5","新莊區","離婚","3955"
"2024","113","6","新店區","喪偶","57"
"2024","113","6","新店區","有偶","16777"
"2024","113","6","新店區","未婚","65414"
"2024","113","6","新店區","離婚","2233"
"2024","113","7","土城區","喪偶","39"
"2024","113","7","土城區","有偶","11751"
"2024","113","7","土城區","未婚","42177"
"2024","113","7","土城區","離婚","1865"
"2024","113","8","蘆洲區","喪偶","33"
"2024","113","8","蘆洲區","有偶","6890"
"2024","113","8","蘆洲區","未婚","20924"
"2024","113","8","蘆洲區","離婚","1124"
"2024","113","9","樹林區","喪偶","27"
"2024","113","9","樹林區","有偶","7757"
"2024","113","9","樹林區","未婚","26736"
"2024","113","9","樹林區","離婚","1366"
"2024","113","10","鶯歌區","喪偶","37"
"2024","113","10","鶯歌區","有偶","13179"
"2024","113","10","鶯歌區","未婚","42318"
"2024","113","10","鶯歌區","離婚","1812"
"2024","113","11","三峽區","喪偶","31"
"2024","113","11","三峽區","有偶","12720"
"2024","113","11","三峽區","未婚","47170"
