"year","roc_year","month","district_code","district","total_population","youth_population","male_youth","female_youth","age_15_19","age_20_24","age_25_29","age_30_34","age_35_39"
"2018","107","12","25","萬里區","22068","6883","3448","3435","1087","1331","1432","1313","1720"
"2018","107","12","26","平溪區","4666","967","522","445","146","173","208","193","247"
"2018","107","12","27","雙溪區","8860","2285","1188","1097","357","480","479","400","569"
"2018","107","12","28","貢寮區","12301","3346","1710","1636","521","687","643","652","843"
"2018","107","12","29","烏來區","6438","2308","1164","1144","343","456","503","463","543"
"2019","108","12","0","New Taipei City","4018696","1348669","688529","660140","205504","252091","278031","273619","339424"
"2019","108","12","1","板橋區","556897","184270","93604","90666","27884","31747","35819","38601","50219"
"2019","108","12","2","三重區","386336","130912","67325","63587","19012","23511","26810","27769","33810"
"2019","108","12","3","中和區","413069","132493","67714","64779","19132","23800","26470","27746","35345"
"2019","108","12","4","永和區","220595","65565","33032","32533","10619","12447","13234","12956","16309"
"2019","108","12","5","新莊區","420473","150493","76349","74144","22889","27222","30760","31075","38547"
"2019","108","12","6","新店區","303445","93734","47542","46192","13644","18375","20341","19149","22225"
"2019","108","12","7","土城區","237696","86111","44527","41584","12307","16402","18581","17989","20832"
"2019","108","12","8","蘆洲區","201883","73649","37901","35748","11737","14492","15804","14552","17064"
"2019","108","12","9","樹林區","183926","66109","33926","32183","10353","12382","13625","13228","16521"
"2019","108","12","10","鶯歌區","86869","31694","16490","15204","5078","6149","6396","6285","7786"
"2019","108","12","11","三峽區","116478","40410","20691","19719","6958","8127","8472","7630","9223"
"2019","108","12","12","淡水區","178610","57190","29003","28187","8582","10712","12091","11445","14360"
"2019","108","12","13","汐止區","203429","66058","33968","32090","9941","13536","14286","12503","15792"
"2019","108","12","14","瑞芳區","39536","12505","6489","6016","1964","2363","2843","2513","2822"
"2019","108","12","15","五股區","88000","32407","16749","15658","4862","6480","6974","6396","7695"
"2019","108","12","16","泰山區","78751","27270","13904","13366","4509","5052","5326","5206","7177"
"2019","108","12","17","林口區","115582","38285","18899","19386","6361","7099","7251","7467","10107"
"2019","108","12","18","八里區","39531","13799","6975","6824","2250","2826","3003","2617","3103"
"2019","108","12","19","深坑區","23725","7924","4223","3701","1289","1680","1820","1466","1669"
"2019","108","12","20","石碇區","7629","2200","1133","1067","397","492","426","404","481"
"2019","108","12","21","坪林區","6689","1799","945","854","311","393","377","354","364"
"2019","108","12","22","三芝區","22768","7312","3846","3466","1209","1551","1672","1299","1581"
"2019","108","12","23","石門區","11834","4102","2098","2004","698","826","862","740","976"
"2019","108","12","24","金山區","21396","7141","3463","3678","1111","1481","1556","1284","1709"
"2019","108","12","25","萬里區","21872","6687","3342","3345","1086","1270","1412","1296","1623"
"2019","108","12","26","平溪區","4546","938","497","441","148","164","198","192","236"
"2019","108","12","27","雙溪區","8665","2144","1110","1034","323","436","494","370","521"
"2019","108","12","28","貢寮區","12033","3191","1644","1547","507","636","632","620","796"
"2019","108","12","29","烏來區","6433","2277","1140","1137","343","440","496","467","531"
"2020","109","12","0","New Taipei City","4030954","1316226","673279","642947","188821","248868","274857","274593","329087"
"2020","109","12","1","板橋區","557114","178489","90751","87738","25746","31492","34786","37932","48533"
"2020","109","12","2","三重區","385328","126832","65220","61612","17328","23146","26174","27358","32826"
"2020","109","12","3","中和區","411214","128134","65658","62476","17614","23398","25980","27452","33690"
"2020","109","12","4","永和區","219364","63418","32044","31374","9764","12166","13065","12772","15651"
"2020","109","12","5","新莊區","422653","146665","74655","72010","21160","26836","30160","31146","37363"
"2020","109","12","6","新店區","303532","91652","46476","45176","12432","17921","20291","19222","21786"
"2020","109","12","7","土城區","238277","83778","43343","40435","11016","15961","18268","18035","20498"
"2020","109","12","8","蘆洲區","202456","71995","37045","34950","10647","14329","15645","14936","16438"
"2020","109","12","9","樹林區","183470","64146","32974","31172","9600","12288","13321","13142","15795"
"2020","109","12","10","鶯歌區","87674","31282","16336","14946","4612","6118","6343","6448","7761"
"2020","109","12","11","三峽區","116917","39646","20367","19279","6323","8152","8503","7789","8879"
"2020","109","12","12","淡水區","183278","57326","29146","28180","8098","10815","12333","11842","14238"
"2020","109","12","13","汐止區","205847","65376","33727","31649","9147","13400","14471","13026","15332"
"2020","109","12","14","瑞芳區","39077","12045","6277","5768","1773","2290","2740","2521","2721"
"2020","109","12","15","五股區","89470","32367","16786","15581","4525","6366","7155","6599","7722"
"2020","109","12","16","泰山區","78412","26444","13542","12902","4233","5017","5261","5192","6741"
"2020","109","12","17","林口區","121192","39195","19429","19766","6074","7323","7469","8030","10299"
"2020","109","12","18","八里區","39741","13508","6871","6637","2061","2749","3004","2671","3023"
"2020","109","12","19","深坑區","23723","7777","4171","3606","1151","1649","1846","1533","1598"
"2020","109","12","20","石碇區","7565","2136","1104","1032","379","496","427","383","451"
"2020","109","12","21","坪林區","6703","1750","921","829","274","400","373","355","348"
"2020","109","12","22","三芝區","22540","7017","3702","3315","1060","1489","1696","1304","1468"
"2020","109","12","23","石門區","11480","3843","1991","1852","604","784","859","727","869"
"2020","109","12","24","金山區","21127","6833","3345","3488","999","1401","1526","1289","1618"
"2020","109","12","25","萬里區","21710","6416","3206","3210","998","1260","1374","1278","1506"
"2020","109","12","26","平溪區","4424","880","470","410","129","154","192","184","221"
"2020","109","12","27","雙溪區","8468","2010","1035","975","303","402","470","375","460"
"2020","109","12","28","貢寮區","11782","3032","1560","1472","432","635","632","586","747"
"2020","109","12","29","烏來區","6416","2234","1127","1107","339","431","493","466","505"
"2021","110","12","0","New Taipei City","4008113","1273434","653952","619482","179909","236927","271637","276693","308268"
"2021","110","12","1","板橋區","552713","171397","87350","84047","24701","30156","33949","37417","45174"
"2021","110","12","2","三重區","381731","121748","62957","58791","16348","22019","25554","27228","30599"
"2021","110","12","3","中和區","406140","123106","63332","59774","16913","22118","25633","27134","31308"
"2021","110","12","4","永和區","214967","60538","30762","29776","9245","11415","12738","12666","14474"
"2021","110","12","5","新莊區","421381","141660","72289","69371","20283","25510","29574","31174","35119"
"2021","110","12","6","新店區","299696","88728","45192","43536","11728","16930","20008","19479","20583"
"2021","110","12","7","土城區","237484","80923","41952","38971","10343","14902","17891","18401","19386"
"2021","110","12","8","蘆洲區","201489","69768","36023","33745","10088","13620","15401","15213","15446"
"2021","110","12","9","樹林區","181903","61622","31872","29750","9145","11676","13133","13125","14543"
"2021","110","12","10","鶯歌區","88131","30648","16056","14592","4399","5851","6437","6556","7405"
"2021","110","12","11","三峽區","116019","38457","19853","18604","5921","7795","8514","7873","8354"
"2021","110","12","12","淡水區","185197","56693","29003","27690","7956","10499","12423","12297","13518"
"2021","110","12","13","汐止區","205990","64155","33208","30947","8561","12837","14555","13622","14580"
"2021","110","12","14","瑞芳區","38449","11602","6049","5553","1628","2212","2654","2557","2551"
"2021","110","12","15","五股區","90465","32126","16731","15395","4366","6094","7276","7019","7371"
"2021","110","12","16","泰山區","77451","25354","13057","12297","4129","4813","5226","5150","6036"
"2021","110","12","17","林口區","124628","39121","19460","19661","6054","7109","7684","8328","9946"
"2021","110","12","18","八里區","40178","13424","6863","6561","1894","2723","3098","2794","2915"
"2021","110","12","19","深坑區","23646","7609","4102","3507","1079","1547","1845","1628","1510"
"2021","110","12","20","石碇區","7487","2087","1099","988","355","486","438","395","413"
"2021","110","12","21","坪林區","6619","1689","896","793","252","381","386","348","322"
"2021","110","12","22","三芝區","22357","6797","3588","3209","990","1428","1680","1351","1348"
"2021","110","12","23","石門區","11193","3624","1889","1735","537","727","876","714","770"
"2021","110","12","24","金山區","20844","6571","3206","3365","936","1335","1530","1312","1458"
"2021","110","12","25","萬里區","21462","6169","3104","3065","920","1218","1367","1294","1370"
"2021","110","12","26","平溪區","4333","840","449","391","131","156","170","189","194"
"2021","110","12","27","雙溪區","8235","1918","994","924","289","372","453","387","417"
"2021","110","12","28","貢寮區","11534","2897","1512","1385","400","588","652","571","686"
"2021","110","12","29","烏來區","6391","2163","1104","1059","318","410","492","471","472"
"2022","111","12","0","New Taipei City","3995551","1235332","635826","599506","173437","223214","269205","277959","291517"
"2022","111","12","1","板橋區","549572","164895","84130","80765","24000","28472","33494","36930","41999"
"2022","111","12","2","三重區","379825","117767","61015","56752","15583","20757","25061","27294","29072"
"2022","111","12","3","中和區","403109","118562","60947","57615","16267","20967","25227","26895","29206"
"2022","111","12","4","永和區","212170","58126","29687","28439","8904","10709","12599","12525","13389"
"2022","111","12","5","新莊區","419966","137082","70112","66970","19553","23980","29168","31105","33276"
"2022","111","12","6","新店區","298594","86313","44092","42221","11365","15814","19868","19659","19607"
"2022","111","12","7","土城區","237538","78617","40826","37791","9979","13758","17740","18485","18655"
"2022","111","12","8","蘆洲區","199811","67431","34845","32586","9646","12686","15224","15247","14628"
